Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Signup Controller 1,1,2362,2362,2362,0,0.00%,0.42337,9.49,0.97,22957
Signup Controller 2,1,1376,1376,1376,0,0.00%,0.72674,5.74,1.67,8084
Login Controller 1,1,1394,1394,1394,0,0.00%,0.71736,6.7,2.33,9570
Select_Category Controller 1,17,393,371,413,10.14,0.00%,0.23062,0.42,0.22,1847.8
Login Controller 2,1,1440,1440,1440,0,0.00%,0.69444,6.19,2.26,9130
Select_Category Controller 2,17,392,379,405,7.68,0.00%,0.23581,0.42,0.22,1829.4
Signup Controller 3,1,1285,1285,1285,0,0.00%,0.77821,5.99,1.78,7879
Select_Items Controller 1,17,1030,887,1167,89.58,0.00%,0.22873,2.08,0.65,9304.7
Add to Cart Controller 1,17,411,385,439,13.02,0.00%,0.23106,0.17,0.24,748
Select_Items Controller 2,17,985,893,1152,86.88,0.00%,0.23403,3.23,0.66,14113.1
Login Controller 3,1,1257,1257,1257,0,0.00%,0.79554,7.1,2.59,9139
Add to Cart Controller 2,17,417,386,491,23.15,0.00%,0.23643,0.17,0.25,748
Select_Category Controller 3,17,393,376,413,12.17,0.00%,0.23492,0.41,0.22,1782.1
Signup Controller 4,1,1289,1289,1289,0,0.00%,0.7758,6.2,1.78,8181
Select_Items Controller 3,17,989,875,1148,85.52,0.00%,0.23341,2.53,0.66,11117.1
Add to Cart Controller 3,17,403,231,432,44.34,0.00%,0.23639,0.17,0.24,721.8
Login Controller 4,1,1256,1256,1256,0,0.00%,0.79618,7.16,2.59,9211
Place Order Controller 1,17,2599,963,3273,453.29,0.00%,0.22935,4.61,1.55,20586.4
Select_Category Controller 4,16,388,376,401,7.2,0.00%,0.23395,0.42,0.22,1835.9
Logout Controller 1,1,455,455,455,0,0.00%,2.1978,15.19,2.85,7076
Signup Controller 5,1,1335,1335,1335,0,0.00%,0.74906,16.66,1.72,22777
Place Order Controller 2,17,2590,1713,3036,256.6,0.00%,0.23227,5.46,1.6,24089.2
Logout Controller 2,1,351,351,351,0,0.00%,2.849,20.28,3.69,7288
Select_Items Controller 4,16,996,887,1187,89.08,0.00%,0.23218,2.83,0.66,12498.9
Add to Cart Controller 4,16,419,401,446,11.88,0.00%,0.23398,0.17,0.24,748
Login Controller 5,1,1227,1227,1227,0,0.00%,0.815,19.13,2.65,24037
Select_Category Controller 5,16,392,377,410,10.83,0.00%,0.23264,0.42,0.22,1840.2
Place Order Controller 3,16,2643,2438,2938,146,0.00%,0.22861,4.94,1.61,22136.6
Logout Controller 3,1,591,591,591,0,0.00%,1.69205,36.11,2.19,21852
Select_Items Controller 5,16,1016,749,1146,95.16,0.00%,0.2314,2.79,0.64,12358.5
Add to Cart Controller 5,15,408,381,424,13.95,0.00%,0.23291,0.17,0.24,748
Place Order Controller 4,16,2625,1838,3080,244.23,0.00%,0.22929,4.86,1.58,21698.3
Logout Controller 4,1,462,462,462,0,0.00%,2.1645,15.02,2.8,7104
Place Order Controller 5,15,2680,2530,2878,97.96,0.00%,0.22521,5.62,1.58,25540.1
Logout Controller 5,1,449,449,449,0,0.00%,2.22717,15.11,2.89,6947
TOTAL,213,24439,21284,26219,1089.57,0.00%,11.45147,106.51,27.27,202727.5
